Country;Item Type;Order Date;Order ID;Order Priority Ex;Region;Sales Channel;Ship Date;Total Cost Ch (bin);Total Cost Ch;Total Profit Ch;Total Revenue Ch;Unit Cost Ch;Unit Price Ch;Units Sold
Bulgaria;Clothes;24/04/2014;380498874;High;Europe;Online;13/05/2014;148K;248263,68;508718,88;756982,56;35,84;109,28;6927
Luxembourg;Personal Care;07/12/2011;595385873;Medium;Europe;Offline;21/12/2011;297K;383372,55;169530,9;552903,45;56,67;81,73;6765
Luxembourg;Cereal;30/06/2012;361659038;Low;Europe;Online;03/08/2012;148K;210915,11;159550,59;370465,7;117,11;205,7;1801
Kosovo;Baby Food;14/12/2016;328721082;Low;Europe;Online;18/12/2016;742K;753737,76;453226,08;1206963,84;159,42;255,28;4728
Denmark;Clothes;27/10/2014;184120833;High;Europe;Offline;31/10/2014;148K;154147,84;315865,44;470013,28;35,84;109,28;4301
Liechtenstein;Vegetables;14/08/2016;933720576;High;Europe;Offline;01/10/2016;593K;684066,39;474926,99;1158993,38;90,93;154,06;7523
Latvia;Cosmetics;14/03/2014;765101468;High;Europe;Online;06/04/2014;2374K;2470562,06;1631248,34;4101810,4;263,33;437,2;9382
Armenia;Household;03/09/2012;516460692;Medium;Europe;Offline;24/09/2012;445K;528169,54;174182,23;702351,77;502,54;668,27;1051
Ukraine;Meat;25/04/2017;783594977;High;Europe;Offline;01/05/2017;593K;737403,18;115658,4;853061,58;364,69;421,89;2022
Romania;Snacks;03/04/2016;406270396;Low;Europe;Online;19/05/2016;297K;320869,92;181576,02;502445,94;97,44;152,58;3293
Kosovo;Vegetables;13/01/2010;805095136;Low;Europe;Online;20/01/2010;297K;399728,28;277519,48;677247,76;90,93;154,06;4396
United Kingdom;Cereal;01/10/2011;985417258;Medium;Europe;Online;21/10/2011;593K;669869,2;506734,8;1176604;117,11;205,7;5720
Serbia;Cereal;15/06/2013;443125665;Medium;Europe;Offline;09/07/2013;1039K;1122616,46;849223,74;1971840,2;117,11;205,7;9586
Belgium;Beverages;23/06/2014;931477820;Low;Europe;Online;19/07/2014;0K;122105,39;60150,06;182255,45;31,79;47,45;3841
United Kingdom;Personal Care;23/12/2013;387098824;High;Europe;Offline;04/01/2014;445K;566643,33;250574,94;817218,27;56,67;81,73;9999
Denmark;Meat;12/08/2012;595922315;Medium;Europe;Offline;04/09/2012;1929K;2009441,9;315172;2324613,9;364,69;421,89;5510
Slovakia;Office Supplies;23/03/2016;653909957;Medium;Europe;Online;06/04/2016;2671K;2804336,32;674427,5;3478763,82;524,96;651,21;5342
Serbia;Beverages;11/08/2012;103435266;High;Europe;Offline;18/09/2012;148K;243129,92;119767,68;362897,6;31,79;47,45;7648
Sweden;Meat;12/12/2016;863202941;Low;Europe;Offline;13/12/2016;3561K;3569221,03;559816,4;4129037,43;364,69;421,89;9787
Cyprus;Clothes;08/03/2014;396552217;Medium;Europe;Offline;24/04/2014;148K;267653,12;548449,92;816103,04;35,84;109,28;7468
United Kingdom;Cosmetics;06/05/2015;801352488;Medium;Europe;Offline;23/05/2015;1780K;1807497,12;1193443,68;3000940,8;263,33;437,2;6864
Luxembourg;Fruits;07/10/2011;479234206;High;Europe;Online;14/11/2011;0K;33949,52;11823,46;45772,98;6,92;9,33;4906
Romania;Meat;19/02/2010;627003753;Medium;Europe;Offline;26/03/2010;1039K;1166643,31;182982,8;1349626,11;364,69;421,89;3199
France;Fruits;12/03/2017;393709933;Critical;Europe;Offline;25/04/2017;0K;44101,16;15358,93;59460,09;6,92;9,33;6373
Latvia;Beverages;20/02/2016;136624276;Low;Europe;Offline;08/03/2016;148K;286555,06;141159,24;427714,3;31,79;47,45;9014
United Kingdom;Clothes;03/09/2010;251823222;Low;Europe;Online;01/10/2010;297K;320481,28;656700,48;977181,76;35,84;109,28;8942
Macedonia;Baby Food;01/04/2014;200354850;High;Europe;Offline;04/05/2014;1187K;1324301,94;796309,02;2120610,96;159,42;255,28;8307
Germany;Meat;02/05/2017;692757356;High;Europe;Offline;12/05/2017;297K;419758,19;65837,2;485595,39;364,69;421,89;1151
Liechtenstein;Baby Food;12/10/2012;651895511;Low;Europe;Offline;01/11/2012;1335K;1470330,66;884116,78;2354447,44;159,42;255,28;9223
Lithuania;Clothes;26/06/2016;156158483;Critical;Europe;Offline;05/08/2016;297K;344780,8;706492,8;1051273,6;35,84;109,28;9620
Serbia;Snacks;18/11/2013;703966844;Critical;Europe;Offline;30/11/2013;742K;807582,72;457000,32;1264583,04;97,44;152,58;8288
Slovenia;Household;11/02/2017;736240041;Low;Europe;Offline;20/02/2017;4303K;4343955,76;1432570,12;5776525,88;502,54;668,27;8644
Montenegro;Cosmetics;22/05/2015;357434880;Critical;Europe;Online;29/06/2015;445K;468464,07;309314,73;777778,8;263,33;437,2;1779
Russia;Clothes;15/08/2015;358624064;High;Europe;Offline;03/10/2015;0K;132070,4;270626,4;402696,8;35,84;109,28;3685
Spain;Vegetables;12/11/2011;103762280;Medium;Europe;Online;14/12/2011;297K;401819,67;278971,47;680791,14;90,93;154,06;4419
Slovenia;Baby Food;12/03/2013;144743001;Medium;Europe;Offline;21/04/2013;148K;243115,5;146186,5;389302;159,42;255,28;1525
Iceland;Beverages;11/02/2017;439204919;Low;Europe;Online;19/02/2017;297K;297236,5;146421;443657,5;31,79;47,45;9350
Malta;Fruits;03/02/2010;114954173;Critical;Europe;Offline;11/02/2010;0K;43935,08;15301,09;59236,17;6,92;9,33;6349
Norway;Beverages;22/12/2012;238170993;Low;Europe;Offline;07/02/2013;148K;284329,76;140063,04;424392,8;31,79;47,45;8944
Italy;Clothes;02/04/2012;134790503;Medium;Europe;Online;26/04/2012;148K;227942,4;467078,4;695020,8;35,84;109,28;6360
Montenegro;Vegetables;30/03/2013;409112679;High;Europe;Online;18/05/2013;297K;399000,84;277014,44;676015,28;90,93;154,06;4388
Italy;Meat;19/07/2013;727175891;High;Europe;Offline;07/09/2013;2226K;2319428,4;363792;2683220,4;364,69;421,89;6360
Sweden;Cosmetics;26/10/2012;638593900;Low;Europe;Online;12/12/2012;742K;784986,73;518306,47;1303293,2;263,33;437,2;2981
Albania;Beverages;28/04/2013;833473765;High;Europe;Offline;25/05/2013;0K;71972,56;35454,24;107426,8;31,79;47,45;2264
Denmark;Cosmetics;08/07/2014;606224572;Medium;Europe;Offline;15/07/2014;1039K;1099929,41;726254,99;1826184,4;263,33;437,2;4177
Cyprus;Clothes;06/01/2012;325314033;High;Europe;Online;30/01/2012;148K;233175,04;477800,64;710975,68;35,84;109,28;6506
Kosovo;Meat;19/11/2012;159805858;Medium;Europe;Offline;17/12/2012;3264K;3267257,71;512454,8;3779712,51;364,69;421,89;8959
Switzerland;Snacks;06/04/2012;722248780;High;Europe;Online;08/04/2012;742K;810603,36;458709,66;1269313,02;97,44;152,58;8319
Spain;Vegetables;01/06/2015;399115979;High;Europe;Online;24/06/2015;445K;558492,06;387744,46;946236,52;90,93;154,06;6142
Kosovo;Household;25/11/2015;792792594;Medium;Europe;Offline;02/01/2016;1780K;1910154,54;629939,73;2540094,27;502,54;668,27;3801
Portugal;Cosmetics;24/05/2013;626453149;Critical;Europe;Offline;10/06/2013;0K;69255,79;45727,81;114983,6;263,33;437,2;263
Armenia;Snacks;31/07/2013;737095344;Low;Europe;Offline;13/09/2013;148K;170227,68;96329,58;266557,26;97,44;152,58;1747
San Marino;Fruits;18/09/2016;708320605;Low;Europe;Offline;05/10/2016;0K;46101,04;16055,42;62156,46;6,92;9,33;6662
Lithuania;Office Supplies;05/03/2013;433079183;Medium;Europe;Offline;19/04/2013;3412K;3469460,64;834386,25;4303846,89;524,96;651,21;6609
Georgia;Personal Care;22/05/2012;604494225;Low;Europe;Offline;25/06/2012;0K;120650,43;53352,74;174003,17;56,67;81,73;2129
Macedonia;Fruits;30/12/2010;707718932;Medium;Europe;Online;06/01/2011;0K;59608,88;20759,74;80368,62;6,92;9,33;8614
Sweden;Household;24/06/2011;656689155;Critical;Europe;Offline;09/08/2011;3858K;3904233,26;1287556,37;5191789,63;502,54;668,27;7769
Macedonia;Beverages;25/02/2016;935907542;Medium;Europe;Offline;21/03/2016;148K;149254,05;73523,7;222777,75;31,79;47,45;4695
Ireland;Household;14/03/2015;421660268;Critical;Europe;Offline;11/04/2015;3709K;3768044,92;1242643,54;5010688,46;502,54;668,27;7498
San Marino;Cosmetics;22/08/2014;447183310;Critical;Europe;Offline;19/09/2014;0K;87952,22;58072,58;146024,8;263,33;437,2;334
Estonia;Vegetables;07/12/2011;127694451;Low;Europe;Offline;27/12/2011;445K;589317,33;409145,53;998462,86;90,93;154,06;6481
Vatican City;Meat;13/06/2012;697617518;Medium;Europe;Offline;07/07/2012;3412K;3421156,89;536593,2;3957750,09;364,69;421,89;9381
United Kingdom;Personal Care;22/01/2015;311688840;Low;Europe;Offline;14/02/2015;148K;255525,03;112995,54;368520,57;56,67;81,73;4509
Cyprus;Cosmetics;06/11/2015;385080945;Medium;Europe;Offline;07/11/2015;742K;754177,12;497963,68;1252140,8;263,33;437,2;2864
Spain;Household;23/04/2012;309148681;Medium;Europe;Offline;05/05/2012;1335K;1416660,26;467192,87;1883853,13;502,54;668,27;2819
Serbia;Baby Food;21/02/2014;630219399;Low;Europe;Offline;14/03/2014;742K;762027,6;458210,8;1220238,4;159,42;255,28;4780
Denmark;Snacks;13/04/2012;585677134;High;Europe;Online;04/05/2012;297K;363840,96;205892,76;569733,72;97,44;152,58;3734
Italy;Household;23/12/2016;692704999;Critical;Europe;Online;24/01/2017;2819K;2842868,78;937534,61;3780403,39;502,54;668,27;5657
Iceland;Cosmetics;09/02/2011;942454278;Medium;Europe;Online;29/03/2011;445K;531663,27;351043,53;882706,8;263,33;437,2;2019
Kosovo;Office Supplies;19/05/2015;150293242;High;Europe;Offline;21/06/2015;2077K;2081466,4;500581,25;2582047,65;524,96;651,21;3965
Germany;Office Supplies;19/12/2013;236042392;High;Europe;Offline;26/01/2014;4599K;4747738,24;1141805;5889543,24;524,96;651,21;9044
Italy;Baby Food;15/06/2012;314782178;Low;Europe;Offline;12/07/2012;1484K;1577620,32;948630,56;2526250,88;159,42;255,28;9896
Belgium;Cosmetics;27/07/2016;193472945;Medium;Europe;Offline;13/09/2016;445K;473730,67;312792,13;786522,8;263,33;437,2;1799
Monaco;Cosmetics;27/09/2010;434013879;High;Europe;Offline;05/11/2010;742K;844235,98;557427,22;1401663,2;263,33;437,2;3206
Greece;Cereal;26/08/2015;431240689;Low;Europe;Online;13/10/2015;297K;299567,38;226613,22;526180,6;117,11;205,7;2558
Switzerland;Meat;26/04/2012;643259227;Low;Europe;Offline;26/04/2012;1187K;1296472,95;203346;1499818,95;364,69;421,89;3555
Czech Republic;Cosmetics;06/06/2017;151312482;High;Europe;Online;12/07/2017;1335K;1469644,73;970368,47;2440013,2;263,33;437,2;5581
Austria;Fruits;31/07/2012;750047194;Medium;Europe;Online;18/09/2012;0K;31050,04;10813,67;41863,71;6,92;9,33;4487
Switzerland;Fruits;29/11/2015;721318805;Low;Europe;Offline;09/12/2015;0K;21576,56;7514,38;29090,94;6,92;9,33;3118
Vatican City;Beverages;13/02/2012;599997556;High;Europe;Offline;14/02/2012;0K;46572,35;22941,9;69514,25;31,79;47,45;1465
Estonia;Beverages;28/11/2016;826677262;Medium;Europe;Online;09/01/2017;0K;32648,33;16082,82;48731,15;31,79;47,45;1027
Poland;Beverages;05/07/2011;735445678;High;Europe;Offline;22/07/2011;0K;113617,46;55968,84;169586,3;31,79;47,45;3574
San Marino;Vegetables;14/10/2012;354270303;Low;Europe;Offline;27/11/2012;445K;482838,3;335220,3;818058,6;90,93;154,06;5310
Spain;Cereal;04/12/2010;806662404;High;Europe;Offline;07/12/2010;890K;958662,46;725197,74;1683860,2;117,11;205,7;8186
Netherlands;Personal Care;13/11/2013;933699119;Critical;Europe;Offline;24/11/2013;0K;66473,91;29395,38;95869,29;56,67;81,73;1173
Switzerland;Baby Food;27/06/2015;726223170;Critical;Europe;Offline;31/07/2015;593K;706071,18;424563,94;1130635,12;159,42;255,28;4429
Czech Republic;Meat;09/01/2015;692555224;Medium;Europe;Online;01/02/2015;445K;487225,84;76419,2;563645,04;364,69;421,89;1336
Estonia;Vegetables;28/02/2011;134121024;Low;Europe;Online;08/04/2011;742K;749808,78;520569,98;1270378,76;90,93;154,06;8246
Estonia;Clothes;18/12/2016;660312926;Critical;Europe;Offline;05/01/2017;0K;4408,32;9033,12;13441,44;35,84;109,28;123
Ukraine;Cosmetics;08/07/2014;140461766;Critical;Europe;Online;20/07/2014;1187K;1214741,29;802062,31;2016803,6;263,33;437,2;4613
Ukraine;Cereal;13/02/2011;741964948;Critical;Europe;Offline;26/02/2011;297K;324511,81;245482,89;569994,7;117,11;205,7;2771
San Marino;Snacks;22/07/2017;476453721;Critical;Europe;Offline;10/08/2017;148K;204526,56;115738,86;320265,42;97,44;152,58;2099
Belgium;Fruits;28/04/2011;111496055;Medium;Europe;Online;04/06/2011;0K;20863,8;7266,15;28129,95;6,92;9,33;3015
Slovakia;Vegetables;25/12/2015;628515231;Low;Europe;Online;01/02/2016;0K;43555,47;30239,27;73794,74;90,93;154,06;479
Slovakia;Office Supplies;02/03/2010;601894414;Medium;Europe;Offline;19/03/2010;1335K;1463063,52;351858,75;1814922,27;524,96;651,21;2787
Bosnia and Herzegovina;Snacks;14/07/2011;954040992;Low;Europe;Offline;27/08/2011;0K;76490,4;43284,9;119775,3;97,44;152,58;785
Czech Republic;Office Supplies;09/05/2014;865824210;Medium;Europe;Online;14/05/2014;2819K;2876255,84;691723,75;3567979,59;524,96;651,21;5479
Belgium;Clothes;20/09/2016;761887109;Medium;Europe;Offline;14/10/2016;148K;293207,04;600812,64;894019,68;35,84;109,28;8181
Romania;Office Supplies;27/09/2015;160578763;Low;Europe;Online;30/10/2015;4006K;4031167,84;969473,75;5000641,59;524,96;651,21;7679
Serbia;Vegetables;08/03/2011;992992675;Medium;Europe;Offline;09/03/2011;593K;677792,22;470571,02;1148363,24;90,93;154,06;7454
Slovakia;Clothes;09/05/2015;231369769;Medium;Europe;Online;16/05/2015;148K;226186,24;463479,84;689666,08;35,84;109,28;6311
Lithuania;Cosmetics;28/03/2016;852392995;Medium;Europe;Online;19/04/2016;148K;232783,72;153701,08;386484,8;263,33;437,2;884
Macedonia;Snacks;06/09/2012;597105491;Medium;Europe;Offline;20/10/2012;445K;549464,16;310934,46;860398,62;97,44;152,58;5639
Andorra;Fruits;04/03/2016;716054379;Low;Europe;Offline;26/03/2016;0K;36385,36;12671,78;49057,14;6,92;9,33;5258
Austria;Office Supplies;21/03/2015;511712110;Critical;Europe;Offline;07/05/2015;2967K;3065241,44;737173,75;3802415,19;524,96;651,21;5839
Finland;Baby Food;07/09/2014;481308305;Critical;Europe;Offline;16/10/2014;1335K;1383446,76;831873,08;2215319,84;159,42;255,28;8678
Andorra;Household;22/05/2014;266638886;Critical;Europe;Online;19/06/2014;1484K;1621696,58;534810,71;2156507,29;502,54;668,27;3227
Moldova;Meat;17/09/2012;638314521;High;Europe;Online;15/10/2012;0K;111595,14;17503,2;129098,34;364,69;421,89;306
Switzerland;Cosmetics;15/04/2015;811977040;Medium;Europe;Online;28/05/2015;148K;238313,65;157352,35;395666;263,33;437,2;905
Netherlands;Meat;09/10/2010;344160735;Medium;Europe;Online;20/11/2010;1335K;1336224,16;209580,8;1545804,96;364,69;421,89;3664
Russia;Household;03/04/2017;549058330;High;Europe;Online;11/05/2017;3709K;3726836,64;1229053,68;4955890,32;502,54;668,27;7416
Greece;Meat;12/11/2013;969199979;High;Europe;Online;07/12/2013;2374K;2431023,54;381295,2;2812318,74;364,69;421,89;6666
Spain;Baby Food;22/05/2011;956594026;Low;Europe;Offline;17/06/2011;890K;1001954,7;602480,1;1604434,8;159,42;255,28;6285
Ukraine;Beverages;24/03/2015;712595832;High;Europe;Online;28/03/2015;0K;57126,63;28141,02;85267,65;31,79;47,45;1797
Italy;Baby Food;26/06/2010;748357188;Critical;Europe;Offline;20/07/2010;593K;697781,34;419579,22;1117360,56;159,42;255,28;4377
Estonia;Fruits;25/02/2013;898211562;Low;Europe;Offline;12/03/2013;0K;66542,72;23174,56;89717,28;6,92;9,33;9616
Ireland;Office Supplies;15/06/2014;729373586;Critical;Europe;Offline;05/07/2014;3412K;3520906,72;846758,75;4367665,47;524,96;651,21;6707
Norway;Fruits;20/12/2011;991761863;Medium;Europe;Offline;24/12/2011;0K;22344,68;7781,89;30126,57;6,92;9,33;3229
Latvia;Personal Care;29/10/2011;160751283;Critical;Europe;Offline;13/11/2011;445K;494842,44;218823,92;713666,36;56,67;81,73;8732
Macedonia;Household;22/02/2017;241392648;High;Europe;Online;16/03/2017;1039K;1157852,16;381841,92;1539694,08;502,54;668,27;2304
Malta;Meat;24/03/2015;901789844;High;Europe;Online;05/05/2015;2967K;3103147,21;486714,8;3589862,01;364,69;421,89;8509
Portugal;Office Supplies;21/11/2016;410229337;Medium;Europe;Online;22/12/2016;2522K;2536606,72;610040;3146646,72;524,96;651,21;4832
Switzerland;Beverages;04/04/2017;837906920;Low;Europe;Online;16/05/2017;0K;131388,07;64722,78;196110,85;31,79;47,45;4133
Slovakia;Household;30/01/2016;704361665;Critical;Europe;Online;01/03/2016;2522K;2575014,96;849200,52;3424215,48;502,54;668,27;5124
Austria;Snacks;11/07/2013;400267398;Medium;Europe;Offline;20/07/2013;593K;669705,12;378977,22;1048682,34;97,44;152,58;6873
France;Meat;19/05/2014;531281936;Critical;Europe;Online;03/06/2014;2522K;2547724,34;399599,2;2947323,54;364,69;421,89;6986
Greece;Cosmetics;20/06/2017;900808799;Critical;Europe;Online;28/06/2017;2077K;2158252,68;1425038,52;3583291,2;263,33;437,2;8196
Czech Republic;Meat;22/01/2015;756395232;High;Europe;Online;13/03/2015;1039K;1098810,97;172343,6;1271154,57;364,69;421,89;3013
Ireland;Clothes;02/10/2012;261187350;Critical;Europe;Online;03/10/2012;297K;358256,64;734106,24;1092362,88;35,84;109,28;9996
Slovenia;Clothes;16/05/2014;188866841;Low;Europe;Offline;20/05/2014;297K;313600;642600;956200;35,84;109,28;8750
Cyprus;Household;18/06/2012;709071195;Critical;Europe;Online;02/08/2012;4303K;4411296,12;1454777,94;5866074,06;502,54;668,27;8778
Belarus;Cereal;15/12/2012;674060428;Low;Europe;Online;17/12/2012;890K;973769,65;736625,85;1710395,5;117,11;205,7;8315
San Marino;Cosmetics;27/10/2016;284595954;Critical;Europe;Offline;29/10/2016;1780K;1875436,26;1238302,14;3113738,4;263,33;437,2;7122
Iceland;Baby Food;06/05/2016;580314862;Critical;Europe;Offline;12/05/2016;1039K;1102867,56;663159,48;1766027,04;159,42;255,28;6918
Luxembourg;Snacks;21/02/2013;437604176;Low;Europe;Online;07/04/2013;445K;551023,2;311816,7;862839,9;97,44;152,58;5655
Italy;Beverages;05/12/2014;994978797;High;Europe;Offline;02/01/2015;148K;165053,68;81306,72;246360,4;31,79;47,45;5192
Greece;Beverages;30/04/2017;317006051;High;Europe;Offline;05/06/2017;148K;254002,1;125123,4;379125,5;31,79;47,45;7990
Montenegro;Personal Care;19/04/2012;933642041;High;Europe;Online;19/05/2012;148K;242660,94;107306,92;349967,86;56,67;81,73;4282
Italy;Office Supplies;09/06/2016;764592492;Medium;Europe;Offline;19/07/2016;4599K;4600749,44;1106455;5707204,44;524,96;651,21;8764
Hungary;Clothes;25/06/2013;931559789;Critical;Europe;Offline;05/07/2013;148K;290232,32;594717,12;884949,44;35,84;109,28;8098
Germany;Beverages;26/11/2015;682314765;Low;Europe;Offline;20/12/2015;0K;30391,24;14970,96;45362,2;31,79;47,45;956
Spain;Snacks;11/11/2016;485165965;Critical;Europe;Online;14/12/2016;0K;23872,8;13509,3;37382,1;97,44;152,58;245
Netherlands;Beverages;04/03/2010;601422345;Critical;Europe;Online;20/03/2010;0K;98294,68;48420,72;146715,4;31,79;47,45;3092
Albania;Household;31/03/2012;999879729;Medium;Europe;Offline;06/05/2012;2671K;2756934,44;909194,78;3666129,22;502,54;668,27;5486
Latvia;Cosmetics;05/03/2012;246603858;High;Europe;Offline;15/04/2012;1039K;1163128,61;767983,79;1931112,4;263,33;437,2;4417
Slovakia;Beverages;23/10/2013;291531503;Low;Europe;Online;26/10/2013;297K;302163,95;148848,3;451012,25;31,79;47,45;9505
Kosovo;Cereal;18/07/2017;483655774;High;Europe;Offline;05/08/2017;297K;391850,06;296422,14;688272,2;117,11;205,7;3346
Armenia;Personal Care;10/12/2010;840747058;Critical;Europe;Online;26/12/2010;148K;260285,31;115100,58;375385,89;56,67;81,73;4593
Bosnia and Herzegovina;Cosmetics;12/02/2012;205354487;High;Europe;Offline;20/02/2012;1929K;2056870,63;1358098,57;3414969,2;263,33;437,2;7811
Finland;Cereal;16/07/2011;280192410;High;Europe;Online;28/08/2011;445K;470313,76;355777,44;826091,2;117,11;205,7;4016
Germany;Vegetables;14/03/2011;465753209;Critical;Europe;Offline;14/03/2011;445K;507298,47;352202,27;859500,74;90,93;154,06;5579
Sweden;Personal Care;26/04/2011;587846076;Critical;Europe;Online;24/05/2011;297K;315765,24;139634,32;455399,56;56,67;81,73;5572
Armenia;Cereal;10/09/2011;580342328;High;Europe;Offline;14/10/2011;445K;590937,06;447025,14;1037962,2;117,11;205,7;5046
Switzerland;Meat;21/04/2012;877084767;Critical;Europe;Online;09/06/2012;2671K;2818324,32;442041,6;3260365,92;364,69;421,89;7728
Norway;Clothes;29/04/2012;709105527;Critical;Europe;Online;01/05/2012;297K;320337,92;656406,72;976744,64;35,84;109,28;8938
San Marino;Meat;23/05/2016;614321839;High;Europe;Online;05/07/2016;0K;123629,91;19390,8;143020,71;364,69;421,89;339
Ukraine;Cosmetics;18/01/2011;329529607;Low;Europe;Online;23/01/2011;1039K;1050160,04;693393,56;1743553,6;263,33;437,2;3988
Ireland;Fruits;30/05/2010;223869454;Low;Europe;Online;27/06/2010;0K;47062,92;16390,41;63453,33;6,92;9,33;6801
Czech Republic;Office Supplies;11/05/2012;189108455;High;Europe;Offline;30/06/2012;0K;130715,04;31436,25;162151,29;524,96;651,21;249
Sweden;Fruits;14/01/2015;452471768;Low;Europe;Offline;10/02/2015;0K;36717,52;12787,46;49504,98;6,92;9,33;5306
Germany;Cereal;30/04/2016;174218118;Medium;Europe;Offline;13/06/2016;445K;452864,37;342577,53;795441,9;117,11;205,7;3867
Germany;Meat;28/05/2017;820437371;High;Europe;Online;11/06/2017;1632K;1642928,45;257686;1900614,45;364,69;421,89;4505
Slovenia;Personal Care;06/02/2012;410291135;Low;Europe;Offline;22/02/2012;148K;176753,73;78162,14;254915,87;56,67;81,73;3119
Andorra;Baby Food;24/06/2017;174614226;Critical;Europe;Offline;13/08/2017;148K;172970,7;104008,1;276978,8;159,42;255,28;1085
Vatican City;Snacks;02/06/2011;118859469;Low;Europe;Offline;01/07/2011;148K;196146,72;110996,82;307143,54;97,44;152,58;2013
Belarus;Cosmetics;30/07/2015;669550883;High;Europe;Offline;16/09/2015;890K;1011187,2;667660,8;1678848;263,33;437,2;3840
United Kingdom;Personal Care;17/06/2012;439114367;Medium;Europe;Online;26/06/2012;0K;144735,18;64003,24;208738,42;56,67;81,73;2554
Moldova;Household;31/01/2011;582563626;Medium;Europe;Online;19/02/2011;1187K;1195040,12;394105,94;1589146,06;502,54;668,27;2378
Latvia;Snacks;08/02/2013;943274819;Medium;Europe;Online;08/03/2013;445K;471219,84;266657,04;737876,88;97,44;152,58;4836
Hungary;Office Supplies;05/12/2010;313821303;High;Europe;Online;17/01/2011;2819K;2914577,92;700940;3615517,92;524,96;651,21;5552
Slovakia;Beverages;02/09/2015;431753098;Medium;Europe;Online;19/10/2015;0K;133231,89;65631,06;198862,95;31,79;47,45;4191
Bosnia and Herzegovina;Household;28/12/2011;969289243;Critical;Europe;Online;02/02/2012;1484K;1548828,28;510779,86;2059608,14;502,54;668,27;3082
Norway;Snacks;17/07/2011;861982858;Medium;Europe;Offline;04/09/2011;742K;851430,72;481813,32;1333244,04;97,44;152,58;8738
Italy;Meat;21/02/2016;290317428;Medium;Europe;Online;02/04/2016;0K;84972,77;13327,6;98300,37;364,69;421,89;233
Slovenia;Clothes;02/06/2016;105030000;Critical;Europe;Offline;13/06/2016;297K;342845,44;702527,04;1045372,48;35,84;109,28;9566
Belgium;Beverages;31/08/2015;960213077;High;Europe;Online;16/10/2015;148K;230223,18;113409,72;343632,9;31,79;47,45;7242
Hungary;Cosmetics;27/05/2014;743619334;Low;Europe;Offline;09/07/2014;593K;616455,53;407029,67;1023485,2;263,33;437,2;2341
Ireland;Office Supplies;15/12/2016;263977277;High;Europe;Offline;10/01/2017;2819K;2938201,12;706621,25;3644822,37;524,96;651,21;5597
Montenegro;Office Supplies;23/04/2011;819152915;High;Europe;Offline;24/04/2011;2226K;2312973,76;556257,5;2869231,26;524,96;651,21;4406
France;Personal Care;13/08/2015;980598723;Critical;Europe;Offline;24/09/2015;445K;555819,36;245788,48;801607,84;56,67;81,73;9808
Andorra;Clothes;18/05/2011;974147260;Low;Europe;Offline;08/06/2011;0K;24263,68;49718,88;73982,56;35,84;109,28;677
Finland;Office Supplies;21/12/2011;719404351;High;Europe;Online;10/01/2012;3412K;3458961,44;831861,25;4290822,69;524,96;651,21;6589
Georgia;Personal Care;24/07/2015;643770778;Low;Europe;Offline;31/07/2015;148K;279609,78;123646,04;403255,82;56,67;81,73;4934
Armenia;Meat;01/10/2016;645309722;Critical;Europe;Offline;06/11/2016;0K;124723,98;19562,4;144286,38;364,69;421,89;342
Malta;Cereal;20/07/2013;469144809;Medium;Europe;Offline;24/08/2013;1039K;1080808,19;817597,11;1898405,3;117,11;205,7;9229
Norway;Cosmetics;20/07/2011;821916663;Low;Europe;Online;26/08/2011;593K;595125,8;392946,2;988072;263,33;437,2;2260
Austria;Household;27/08/2010;835265910;Medium;Europe;Offline;01/10/2010;1187K;1306101,46;430732,27;1736833,73;502,54;668,27;2599
Greece;Household;26/09/2013;195259082;Low;Europe;Online;11/10/2013;148K;178904,24;58999,88;237904,12;502,54;668,27;356
Cyprus;Clothes;17/05/2012;593158566;Critical;Europe;Online;25/06/2012;148K;274391,04;562256,64;836647,68;35,84;109,28;7656
Serbia;Vegetables;22/03/2014;717833220;Critical;Europe;Offline;03/04/2014;148K;150671,01;104606,41;255277,42;90,93;154,06;1657
Belgium;Vegetables;26/05/2013;682066285;High;Europe;Online;13/07/2013;593K;675246,18;468803,38;1144049,56;90,93;154,06;7426
Greece;Cereal;24/01/2013;412215459;High;Europe;Online;31/01/2013;297K;300855,59;227587,71;528443,3;117,11;205,7;2569
Bosnia and Herzegovina;Office Supplies;02/05/2010;152746713;Critical;Europe;Offline;08/05/2010;0K;1049,92;252,5;1302,42;524,96;651,21;2
Italy;Cereal;06/01/2013;715309798;Medium;Europe;Online;10/02/2013;445K;576181,2;435862,8;1012044;117,11;205,7;4920
Belarus;Fruits;01/08/2010;466517961;Low;Europe;Online;07/09/2010;0K;13051,12;4545,26;17596,38;6,92;9,33;1886
Latvia;Meat;24/07/2011;825065791;Critical;Europe;Offline;28/08/2011;1484K;1516016,33;237780,4;1753796,73;364,69;421,89;4157
Iceland;Office Supplies;18/02/2015;384976232;Low;Europe;Online;03/04/2015;890K;985349,92;236971,25;1222321,17;524,96;651,21;1877
Hungary;Office Supplies;18/09/2015;467924726;Critical;Europe;Offline;20/10/2015;4154K;4293647,84;1032598,75;5326246,59;524,96;651,21;8179
Greece;Cereal;23/10/2011;280477797;Low;Europe;Offline;24/10/2011;890K;991687,48;750180,12;1741867,6;117,11;205,7;8468
Bulgaria;Fruits;12/03/2016;774698626;Low;Europe;Online;07/04/2016;0K;65006,48;22639,54;87646,02;6,92;9,33;9394
